[2025-06-20 15:32:38] dllhost.exe | PID: 12176 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
[2025-06-20 15:32:40] System: CPU=53.5%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:32:43] System: CPU=14.2%, Mem=46.7%, Net=130MB Sent
[2025-06-20 15:32:46] System: CPU=66.8%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:32:49] System: CPU=43.9%, Mem=46.5%, Net=130MB Sent
[2025-06-20 15:32:52] System: CPU=41.2%, Mem=46.5%, Net=130MB Sent
[2025-06-20 15:32:55] System: CPU=64.3%, Mem=46.5%, Net=130MB Sent
[2025-06-20 15:32:58] System: CPU=27.1%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:33:01] System: CPU=29.5%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:33:04] System: CPU=68.6%, Mem=46.9%, Net=130MB Sent
[2025-06-20 15:33:07] System: CPU=59.8%, Mem=46.7%, Net=130MB Sent
[2025-06-20 15:33:10] System: CPU=61.7%, Mem=47.0%, Net=130MB Sent
[2025-06-20 15:33:13] System: CPU=61.8%, Mem=47.0%, Net=130MB Sent
[2025-06-20 15:33:16] System: CPU=33.5%, Mem=46.9%, Net=130MB Sent
[2025-06-20 15:33:19] System: CPU=45.9%, Mem=46.7%, Net=130MB Sent
[2025-06-20 15:33:22] System: CPU=59.8%, Mem=46.5%, Net=130MB Sent
[2025-06-20 15:33:25] System: CPU=49.2%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:33:28] System: CPU=55.6%, Mem=46.6%, Net=130MB Sent
[2025-06-20 15:33:31] System: CPU=39.8%, Mem=46.7%, Net=131MB Sent
[2025-06-20 15:33:34] System: CPU=47.0%, Mem=46.7%, Net=131MB Sent
[2025-06-20 15:33:37] System: CPU=54.9%, Mem=46.6%, Net=131MB Sent
[2025-06-20 15:33:40] System: CPU=48.7%, Mem=46.5%, Net=131MB Sent
[2025-06-20 15:33:43] System: CPU=51.4%, Mem=46.4%, Net=131MB Sent
[2025-06-20 15:33:46] System: CPU=37.1%, Mem=46.4%, Net=131MB Sent
[2025-06-20 15:33:49] System: CPU=51.5%, Mem=46.5%, Net=131MB Sent
[2025-06-20 15:33:52] System: CPU=46.9%, Mem=46.6%, Net=131MB Sent
[2025-06-20 15:33:55] System: CPU=50.0%, Mem=46.5%, Net=131MB Sent
[2025-06-20 15:33:58] System: CPU=43.3%, Mem=46.5%, Net=131MB Sent
[2025-06-20 15:34:36] python.exe | PID: 3448 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:34:47] System: CPU=82.4%, Mem=46.6%, Net=133MB Sent
[2025-06-20 15:35:05] python.exe | PID: 11564 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:35:07] python.exe | PID: 3756 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:35:12] python.exe | PID: 2292 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:35:47] System: CPU=48.9%, Mem=46.7%, Net=134MB Sent
[2025-06-20 15:36:27] python.exe | PID: 11808 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:49:10] chrome.exe | PID: 6492 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:49:10] chrome.exe | PID: 6492 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:49:10] System: CPU=41.2%, Mem=48.5%, Net=143MB Sent
[2025-06-20 15:49:13] System: CPU=85.0%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:49:16] System: CPU=71.0%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:49:19] System: CPU=73.5%, Mem=48.2%, Net=143MB Sent
